I0,I1,I2,Area,I3,I4,I5,Class
0.556978814,1.973620952,2.005112911,58.5,3.852478258,7.163796929,5.337845809,Giovanna
0.733860274,3.80047582,3.542808268,57,4.706756505,8.834941201,6.834945405,Giovanna
0.59166343,2.125482158,2.589103081,70.5,3.250515965,6.557273213,6.895778854,Giovanna
0.59296306,1.863980166,2.922373221,92.5,3.914529378,8.343084656,5.145278449,Giovanna
0.643952983,4.553050784,2.291033514,540.5,4.663210773,8.5157702,6.949556822,Giovanna
0.479159943,1.918921762,1.717818928,420,3.434819064,6.391397331,4.496413985,Giovanna
0.376448365,0.90715216,1.824899809,50.5,2.460319726,4.759003355,3.455917319,Giovanna
0.455213328,1.100591788,2.267480761,79.5,3.034792807,5.959626864,4.496750956,Giovanna
0.625879278,1.790035715,2.36175993,52,3.303699501,6.173271992,4.231896058,Giovanna
0.545754112,1.651394274,2.010141993,69,3.160003951,7.219693583,5.27307195,Giovanna
0.579064113,1.629444986,2.74460643,50,3.811700481,7.196615616,5.032041416,Giovanna
0.268571626,0.667024328,1.690087341,169.5,2.084412149,4.012857275,2.590081126,Giovanna
0.438174972,1.010997314,2.457430108,67.5,3.162657918,6.183523684,4.125812791,Giovanna
0.301919348,0.880530723,1.600345879,67.5,2.751966472,5.974953774,3.472492016,Giovanna
0.498481702,1.417451333,3.191757704,66,3.744412379,7.867815875,4.745083596,Giovanna
0.417965295,1.407383243,2.071338811,401,2.476603815,4.760683342,3.68088765,Giovanna
0.514441159,2.062541621,1.592266267,55.5,2.873576823,5.106649639,4.711067031,Giovanna
0.525765733,1.72010405,3.26665115,131,3.760320777,7.458267291,5.127083806,Giovanna
0.48456885,1.509716354,2.528722343,325,5.026918172,8.898254125,6.659041225,Giovanna
0.280986491,0.70262811,1.572094032,82.5,2.484238778,5.18975687,3.83545292,Giovanna
0.34944829,1.283736404,1.584033252,97,2.985306505,6.715845911,4.215563828,Giovanna
0.534729463,1.849663965,2.600358864,119.5,3.557646267,8.056181344,5.246236624,Giovanna
0.130119118,0.462459204,1.230282536,90.5,2.244550548,3.987480009,2.475809327,Giovanna
0.493241033,1.407730588,3.073798422,57,4.170263673,8.919991116,5.385547837,Giovanna
0.312819039,0.836856556,2.264115444,94,2.964124475,5.755402979,3.664035941,Giovanna
0.533853513,1.938666245,2.125268611,222.5,3.616105629,6.491638473,4.860543905,Giovanna
0.533314203,2.516225858,2.152799655,71,3.346580153,6.09820871,4.949327637,Giovanna
0.55318145,1.728609569,2.408374012,112.5,3.461705128,6.699999302,4.333299456,Giovanna
0.560037553,2.678158044,2.543702758,263.5,3.394484678,6.884280419,5.293894937,Giovanna
0.398225591,1.084285406,2.396530632,148,2.716274933,5.284660655,3.260255508,Giovanna
0.626025532,1.904518435,2.319438497,54,2.896916697,5.626028293,3.873967178,Giovanna
0.513905577,1.608557503,2.02856259,67,3.645474996,6.500861828,5.362388516,Giovanna
0.456067848,1.319520614,2.676516928,336.5,2.878423526,6.21043156,3.583096321,Giovanna
0.597202365,2.523894172,2.495215051,316.5,3.386987095,7.521983537,5.060606977,Giovanna
0.66790115,2.795495687,2.585498459,191.5,5.014573434,9.572488117,6.416363194,Giovanna
0.588560676,3.268801308,3.626657754,1581,3.66155989,7.619525519,5.570543825,Giovanna
0.608109986,1.49348252,3.758968868,59,4.838287815,9.170359952,5.586214156,Giovanna
0.70302709,2.120606789,3.526828187,74,4.539351147,8.667662364,5.675297713,Giovanna
0.327780271,1.14383597,2.212050228,188.5,2.041627993,4.209795182,2.774256944,Giovanna
0.081807206,0.454202468,0.215371124,72,0.636268444,1.063982248,0.863437258,Giovanna
0.513096808,1.347781514,2.252128633,123.5,2.533886814,4.926908362,3.21473891,Giovanna
0.339042178,0.845354156,1.675998858,99,2.663371551,4.932486444,3.150377201,Giovanna
0.33000867,0.811472551,2.207936855,248,3.000866417,6.456803098,4.235930164,Giovanna
0.453876938,1.40967865,2.008347071,1129.5,3.053502155,6.059553819,4.445224619,Giovanna
0.486349023,1.849706664,1.70805709,52,2.591394239,5.052944142,3.940354553,Giovanna
