,Area,I1,I2,I3,I4,I5,I6,Class
283,2.18326984368,0.796488740773,5.93432221955,5.66861316066,7.77090844795,15.1815549876,10.7836207757,0
1525,1.96848294855,0.674024425791,2.14382366101,3.21258368574,3.85530427836,7.39998991913,4.97343621085,1
502,2.31910605931,0.639836269059,1.65043121927,2.62930665827,3.73973856272,7.12679005262,4.70117657646,0
148,2.91434315712,0.772457177383,2.50517701127,5.32524094097,7.02450548252,13.2106236454,8.28391440777,0
503,2.89597473236,0.787424101495,2.98326204101,4.68492881958,6.40312953174,11.950528607,7.9682375386,0
1292,1.73239375982,0.781243903395,2.96714284176,3.95335892586,5.46616474519,10.2642895427,7.19490709052,1
731,1.89209460269,0.762297125578,2.5010140783,4.82239599081,5.44127333989,11.0447224496,6.69190703859,0
953,2.11892575283,0.526225780477,1.33022870807,2.65262309613,3.26395000258,6.36860517324,4.24805023498,0
1304,2.20682587603,0.74968977154,2.82236442382,3.01488501852,4.14497137819,8.17389652329,6.0320975004,1
1106,2.29556709996,0.544276880794,1.55188943519,2.00763777073,2.92202325788,5.39813351312,3.70525906448,0
1082,1.96142109407,0.78940207713,3.96441893943,3.91813343868,5.74399223921,10.9469011529,9.13188098811,0
628,2.93926958634,0.20540053991,0.444422772665,2.98253954577,3.57109707434,6.97742811466,4.16052706154,0
925,2.59659709563,0.738223180521,2.42219859495,3.97524097476,4.35877005267,8.55068490169,5.58971609903,0
1096,2.93323412871,0.763660517641,2.42111806812,4.68938775505,5.75306999343,11.6311388505,7.58922883392,0
488,2.43933269383,0.779826864628,3.59746113238,3.72919244483,5.37337623918,10.6175019022,7.5500011486,0
1062,2.62889956442,0.48409592568,1.16944381211,2.81479786666,3.60739329414,7.09803507417,4.27214859357,0
30,2.05115252245,0.768224039401,2.76214288446,3.47559885841,4.6854401143,8.76603649649,6.06739127834,0
344,2.56820172407,0.590047125236,2.0531384227,2.42796537157,2.66500773191,5.30962138813,3.85400711427,0
249,3.13687903988,0.789788985182,3.02871674126,7.09475441282,9.76137762623,18.5334027989,11.2757936999,0
687,2.91354895791,0.745871090943,2.39626116611,3.85237500974,4.54858721127,9.1378170413,6.60583836928,0
1499,1.75204844782,0.634935873246,1.62681111838,3.29535726552,3.90868015403,7.51595525541,4.76724196276,1
842,2.33243845992,0.705300348387,2.30006550873,3.08849703704,4.4269134613,8.18470051852,5.61414313707,0
1492,2.60638136511,0.692296709824,1.94468850181,2.93899299185,4.16757465552,7.85049173733,5.22176174506,1
136,3.14129296008,0.350385623303,0.992187902571,1.49728075059,2.51821757955,4.610981691,3.03329320392,0
1147,3.27542653674,0.608690088923,1.60946285526,2.30107841989,2.74328800875,5.26951045386,3.5757487606,0
642,3.10890312767,0.635459493512,1.71567089126,2.43232281139,2.9180508499,5.59849038665,3.81611169703,0
237,2.22788670461,0.742904854728,2.4530451632,3.88402839622,5.1850156522,11.0900824633,6.64139791357,0
55,2.40908736945,0.692414833067,2.00566266196,3.73063526081,4.43736004298,8.58844385524,5.49869352627,0
234,3.31638975107,0.642723284464,1.68647458465,3.80077031017,3.59220859287,7.32640971734,4.43665016991,0
1513,2.58035466111,0.729180877339,2.31855664548,3.40267650134,4.02333479939,7.76924415301,5.29642060083,1
486,1.71600334363,0.760596967662,2.65778047627,3.57459788133,5.42635192593,10.0959518487,6.76757009239,0
1362,1.7075701761,0.767411760747,2.57512931246,3.86665131204,5.44611133019,10.4718376693,8.50153474978,1
1324,1.8228216453,0.7234137951,2.18316096992,4.14931357503,5.77888235047,11.0941886352,7.19591233666,1
92,2.30427505048,0.796491685773,4.06993705507,5.51566207957,8.06047910917,15.2551192615,10.2849642255,0
207,2.25767857487,0.73832885521,2.11379999473,4.58968012579,5.94049546127,11.8948787733,7.39552908446,0
757,2.98699553972,0.771791906982,2.51719929178,4.50686940859,6.12741789451,11.5393104503,7.4215609941,0
1093,2.06632592536,0.676831470484,2.12055417021,2.65046966964,3.49420410048,6.6148328744,5.08582475212,0
501,1.8543060418,0.791440681362,4.35942086054,5.72461736415,6.72376289303,13.3344199831,9.32367098896,0
951,2.9890046157,0.79084958276,3.11930422807,4.93553727937,7.10668181992,13.1366876717,8.68962999374,0
1260,1.73639650228,0.790164534205,3.56312766775,4.26250936662,6.45245749148,11.9302175819,8.73220104633,1
194,1.83884909074,0.767325365207,2.49405280409,3.89211892659,5.62104569805,10.3776936811,6.86849262288,0
467,2.28555730901,0.763935447757,2.88678540863,3.21249665149,4.93776664674,9.01448936055,6.53139134096,0
482,2.5165353739,0.755861568033,2.53677574813,3.52160129096,4.28251634719,8.18512460492,5.56353405295,0
915,2.93424588102,0.719698809779,2.04738707997,3.30092371472,3.87316425293,7.46024273824,4.89756538775,0
458,1.75204844782,0.756209040605,2.62215204222,3.05277141849,4.57819331569,8.43386129199,5.89880159683,0
990,2.53339070802,0.765444398222,3.07848060536,3.40316976757,7.14584796615,12.5153819019,8.78298069637,0
1298,2.59162103821,0.634963839434,2.16531122432,2.27076518231,4.01970288174,7.37922199346,6.89605774894,1
911,2.89265103388,0.772969399818,2.53878219685,4.87893029879,6.56176512682,12.3637257145,7.88923810095,0
969,3.10568046295,0.743249914152,2.14400630094,4.55180044888,5.85581337583,12.2315171611,7.67721152357,0
694,1.75966784469,0.790793320698,3.55396984305,4.9020980719,6.84352951004,12.7191576339,9.10932040032,0
653,1.7075701761,0.560476829747,1.48815841718,2.20182329017,2.99833682669,5.88143826259,4.01946868066,0
1447,2.70286117057,0.515875350522,1.30842698885,3.85951524678,4.23258551563,9.11191935269,5.10066367762,1
1273,2.31386722037,0.670966922903,1.8110203706,2.96825334091,3.84751972914,7.25556739656,4.75438720362,1
1473,2.13513265138,0.672787748878,1.85506225877,2.68189133182,3.33646348542,6.34931070729,4.26414074661,1
978,2.69897000434,0.543309458918,2.05578322966,2.43151874808,2.3836439404,4.863812612,3.58561976368,0
542,3.00151737682,0.76720443129,2.42217707429,4.70132169385,6.15869221858,11.9112330416,7.87235532549,0
33,2.43536650661,0.676934172442,2.3779414951,3.81386585283,3.80807460589,8.05419878637,5.21420278055,0
121,2.09516935143,0.352012006969,0.897989234678,1.72354358872,2.60606163434,4.8569645845,3.08804081044,0
1558,3.63205216671,0.782231120283,3.11815289931,4.46952296317,5.7814504204,10.9326153613,8.32886405719,1
857,2.13672056716,0.665226728522,1.87604762758,3.23463133203,3.4189187451,6.75899242217,4.38329503764,0
373,2.85551915567,0.757245733106,2.32730890861,3.81836359476,5.01683933332,9.43690432704,6.19136028541,0
1194,1.72015930341,0.747693139695,2.30430974422,3.42326590571,4.53587037659,8.53785950792,5.7324220948,1
94,2.67209785794,0.68119701387,1.75288495883,5.23409303804,5.95401345995,11.5714440108,6.85550220229,0
1295,2.99387691494,0.633579454635,1.57581529918,3.13694406708,3.67436134059,7.09241550257,4.48809760496,1
706,3.15548786214,0.652315414229,1.78728367864,2.52406784113,2.90459714343,5.61997270195,3.81386316605,0
1034,2.56407397898,0.644269697278,2.18621857983,2.76104447452,3.73931789342,7.4152562985,4.97069586626,0
610,2.94175981381,0.791469407975,3.12859439708,5.44383848342,7.49599536115,13.9661817328,9.06180659,0
673,1.90036712866,0.607879868736,1.58120356046,2.78542076618,3.80403896899,7.09879265555,4.59491365893,0
690,2.70543604659,0.766993295116,2.42554512061,4.56557278128,6.1045674437,12.4319785091,7.90170152166,0
1338,2.58602438239,0.727955753286,3.18283335349,5.04678068147,4.03482458645,9.04108069414,6.02533962177,1
661,1.90848501888,0.454507925692,1.07147605306,2.21604677458,3.20425262839,5.92943867691,3.75088392692,0
802,2.37383114507,0.721112763368,2.61089173088,2.6723547506,3.62761560065,7.07289327497,5.6240414897,0
572,1.75966784469,0.724423190546,2.14293800137,3.43931732943,4.60025095144,8.74845674385,5.71371120069,0
956,3.19700472802,0.646142714388,1.81711073003,2.4248207744,2.97779518156,5.68620993946,3.9213986183,0
