Image,I1,I2,I3,I4,I5,I6,Class
Captured 5 - vermelho.jpg,0.624458663,2.696463537,2.801879277,3.210488245,6.352382936,5.228255896,Corante
Captured 5 - vermelho.jpg,0.752717988,4.061371921,3.847027476,5.280386147,10.29172448,7.363727667,Corante
Captured 5 - vermelho.jpg,0.637409796,1.877572355,2.728954307,3.84848537,7.326679064,4.863077301,Corante
Captured 5 - vermelho.jpg,0.751566425,2.749534847,4.065546668,4.947705424,9.571100762,6.571925482,Corante
Captured 5 - vermelho.jpg,0.773226534,2.728963443,4.492509156,6.52090965,12.08238076,7.921168361,Corante
Captured 5 - vermelho.jpg,0.424137789,1.440655745,1.79295362,1.67894385,3.414956264,2.400847724,Corante
Captured 5 - vermelho.jpg,0.627022639,1.983044571,2.619128644,3.351522546,6.505273264,4.592527053,Corante
Captured 5 - vermelho.jpg,0.779465863,3.065038626,3.713822844,5.887798226,10.694986,7.541055288,Corante
Captured 5 - vermelho.jpg,0.754215788,2.412934078,3.62857054,4.991804017,9.587042711,6.442375657,Corante
Captured 5 - vermelho.jpg,0.49689222,1.306995669,1.824111185,2.140436514,4.123828725,2.796448968,Corante
Captured 5 - vermelho.jpg,0.512474677,1.256216536,2.811412434,3.652478833,7.581700095,4.399501678,Corante
Captured 5 - vermelho.jpg,0.567807175,1.938077382,3.348713286,4.133369444,7.896377078,5.103214643,Corante
Captured 5 - vermelho.jpg,0.624094757,2.197642918,2.167468369,2.582633441,5.014992057,4.022199835,Corante
Captured 5 - vermelho.jpg,0.739959364,2.524681757,3.62513161,4.47289265,9.207962655,7.041509275,Corante
Captured 5 - vermelho.jpg,0.727923437,2.789577024,3.0793341,3.866016084,7.338753753,5.270717578,Corante
Captured 5 - vermelho.jpg,0.749710662,3.490071846,3.00419038,4.638529934,8.626176786,8.197999104,Corante
Captured 5 - vermelho.jpg,0.533967487,1.310143598,2.21378044,2.881935108,5.543603119,3.957538096,Corante
Captured 5 - vermelho.jpg,0.778184499,3.19000517,4.050302287,5.533997055,10.53715134,7.154862842,Corante
Captured 5 - vermelho.jpg,0.646831844,1.817423479,2.949190253,3.954242994,8.739450178,4.985041207,Corante
nd106 cloz01.tif,0.676032205,2.59230239,2.632105205,4.667243591,8.450721038,6.088240419,Corante
nd106 cloz02.tif,0.607228244,3.728926199,2.27984191,3.372653726,6.329226937,5.839808868,Corante
nd106 cloz02.tif,-0.158935676,-0.224042086,0.999706272,1.426902085,2.64478611,1.389733941,Corante
nd106 cloz02.tif,0.414487712,1.809952217,2.138069337,3.121195507,5.905826613,4.197460437,Corante
nd106 cloz02.tif,0.542170674,2.422556013,2.111978607,3.192487759,5.852342908,4.412350434,Corante
nd106 cloz02.tif,0.539226005,1.479976169,2.845276757,3.910957395,7.787486667,5.110525163,Corante
nd106 cloz02.tif,0.330382062,2.526491708,1.095292698,1.531249889,2.944207064,2.894329484,Corante
nd106 cloz02.tif,0.218512358,1.755580187,1.182522772,1.626836436,3.318429201,2.566678941,Corante
nd106 cloz02.tif,0.713185839,2.686590244,3.3785804,4.529296298,8.561643112,6.042166926,Corante
nd106 cloz02.tif,0.542857146,1.810633114,2.33761335,2.966295215,6.20900528,4.604964395,Corante
nd106 cloz02.tif,0.716382239,2.73031785,2.86702898,4.515347865,9.070392612,6.270688444,Corante
nd106 cloz02.tif,0.656498446,1.914774266,3.930701881,5.139899196,9.838990119,6.097784115,Corante
nd106 cloz02.tif,0.389745918,1.643376648,2.462534024,1.965970207,4.181429699,2.98698536,Corante
nd106 cloz02.tif,0.677105159,3.588170281,3.644478669,3.515075188,7.111666834,5.378936572,Corante
nd106 cloz02.tif,0.392848606,1.089487971,2.573190537,3.251309417,6.164564539,3.881292942,Corante
nd106 cloz02.tif,0.674652287,2.03226174,4.256499243,4.303376099,8.693449029,5.973725036,Corante
