I1,I2,I3,I4,I5,I6,Class
0.751837732,2.302098675,4.06886214,5.461806237,10.24258281,6.624060116,Candida
0.593468175,1.485658483,2.750921066,3.211339532,6.214087987,4.006849384,Candida
-0.112887023,-0.082885098,0.322170424,1.231424138,2.676924664,1.398471452,Corante
0.768286145,2.569365685,4.339916196,6.166658974,12.06465473,8.166486698,Candida
0.508399499,1.271641998,2.2265271,2.96192121,5.722282196,3.799130744,Candida
0.726497196,2.318498394,2.99852274,4.080361618,10.26132651,6.00114467,Candida
0.755436468,2.35649776,4.398685003,5.962037446,12.09301685,7.336191389,Candida
0.387360284,0.972152195,20.7876895,20.79041067,41.57946076,22.26342746,Corante
0.682244511,2.247987482,3.122491127,5.10471364,9.871877114,6.939265817,Corante
0.662619982,1.709715755,19.10613957,19.49493509,39.34733735,21.66668814,Candida
0.704029091,1.937217141,4.281747663,5.163055302,10.98175387,6.667592336,Candida
0.737086944,2.268415718,3.1442323,4.629913872,9.031800812,6.051474292,Corante
0.629751243,1.739728726,3.1073403,3.255505776,6.437503298,4.125671856,Corante
0.774986704,2.606448717,4.324672393,5.873748813,11.3131056,7.810738349,Corante
0.72768271,3.272445946,3.967762844,3.741318041,7.914784251,6.140155698,Corante
0.730272812,2.081305189,4.203792909,5.289870618,10.4051517,6.626083895,Candida
0.622063988,1.536808719,3.034100106,3.540253264,6.839654493,4.336074134,Corante
0.712703536,3.401233992,2.392814453,4.126042599,7.386129869,5.845802992,Candida
0.693563155,1.954508189,3.587758716,4.656895387,8.942456998,5.747056939,Corante
0.329007762,0.789853617,2.073485247,2.548852036,4.916736027,3.058716812,Candida
0.681241237,1.806179974,20.79368748,20.79305119,41.58642053,21.69614118,Candida
0.330382062,2.526491708,1.095292698,1.531249889,2.944207064,2.894329484,Corante
0.282939673,0.772976937,1.04677862,1.312146855,2.511348746,1.760514965,Corante
0.709639864,2.057139223,3.181149112,4.226296537,8.418945623,5.777087227,Candida
0.397553653,0.961511962,1.828225224,2.361797169,4.500910443,2.970900235,Corante
0.731847563,2.151646944,4.242053878,5.488681723,10.55899192,6.911945746,Candida
0.731461221,3.514583612,2.881642691,4.966168343,9.334312225,6.762024718,Candida
0.478802776,1.306071863,2.325634028,2.749453017,5.316024095,3.470003677,Candida
0.732672861,2.073299166,4.705439105,5.849100438,11.15191633,6.924152178,Candida
0.71420578,2.651414375,3.249361275,4.463806373,8.394595604,5.952712752,Corante
0.63115538,1.826622194,2.849611157,5.383474395,9.560634593,6.551350834,Corante
0.542220983,1.393960535,3.354769946,4.235491177,8.091487668,4.936818942,Corante
0.662619982,1.709715755,19.73414975,19.73791661,39.4739498,20.59406589,Corante
0.757242973,2.43163958,4.364187178,4.990636817,9.673217097,6.218988591,Candida
0.785024918,24.85643636,20.34899651,20.29747781,40.62103003,32.73801114,Candida
0.785024918,23.59710398,18.51796281,18.51855467,37.03681341,30.31752808,Corante
0.627881187,1.897282047,4.58656271,3.282191941,7.216569266,4.230832964,Candida
0.760493442,2.745490395,4.179962519,5.091819548,9.833935401,7.497246243,Candida
0.71424343,2.502537572,3.353588373,3.642900267,7.166284626,5.039374373,Corante
0.74781032,2.512774612,3.705799032,4.455090251,8.536723021,5.754155382,Corante
0.549077,1.657497264,1.861603528,2.85659747,5.215697969,3.685346102,Candida
0.657223172,1.765599606,3.37181065,4.227507928,8.132103482,5.265005182,Candida
0.699929092,2.235710011,3.44370267,5.234525027,9.651284833,6.822852046,Candida
0.417193291,1.115192198,1.743735413,2.759963065,5.447039435,3.718815418,Candida
0.667230634,3.209548007,3.118971763,4.127522457,8.059790254,5.745510045,Corante
0.387360284,0.972152195,19.07768516,19.67480443,40.22704808,20.37253955,Candida
0.749246602,2.230628467,5.818256377,7.070551593,13.52984006,8.867801023,Candida
0.242239124,2.095093348,1.790388201,2.209611077,4.222883742,3.434045997,Corante
